%time,Position1,Effort1,Position,2,Effort2
20.2010000000017,5.59740204665,0.961291432381,-7.13549298746,-2.58015966415,
20.2020000000017,5.59419838077,0.961291432381,-7.1345563355,-2.58015966415,
20.2030000000017,5.59099568179,0.961291432381,-7.13366431519,-2.58015966415,
20.2040000000017,5.58779369033,0.961291432381,-7.13281571255,-2.58015966415,
20.2050000000017,5.58459215575,0.961291432381,-7.13200934405,-2.58015966415,
20.2060000000017,5.58139083602,3.33861398697,-7.13124405597,-3.44369459152,
20.2070000000017,5.57818949754,3.33861398697,-7.13051872389,-3.44369459152,
20.2080000000017,5.57500023904,3.33861398697,-7.1298630622,-3.44369459152,
20.2090000000017,5.57182257688,3.33861398697,-7.12927513206,-3.44369459152,
20.2100000000017,5.56865604107,3.33861398697,-7.12875304155,-3.44369459152,
20.2110000000017,5.56550017503,3.33861398697,-7.12829494502,-3.44369459152,
20.2120000000017,5.56235453541,3.33861398697,-7.12789904248,-3.44369459152,
20.2130000000017,5.55921869182,3.33861398697,-7.12756357888,-3.44369459152,
20.2140000000017,5.55609222662,3.33861398697,-7.12728684332,-3.44369459152,
20.2150000000017,5.55297473467,3.33861398697,-7.12706716838,-3.44369459152,
20.2160000000017,5.54986582314,3.33861398697,-7.1269029292,-3.44369459152,
20.2170000000017,5.54676511122,3.33861398697,-7.12679254278,-3.44369459152,
20.2180000000017,5.54367222994,4.6349568367,-7.12673446707,-3.98366427422,
20.2190000000017,5.54058682192,4.6349568367,-7.12672720019,-3.98366427422,
20.2200000000017,5.53750748339,4.6349568367,-7.12676504157,-3.98366427422,
20.2210000000017,5.53443815558,4.6349568367,-7.12685354683,-3.98366427422,
20.2220000000017,5.5313813414,4.6349568367,-7.12700269485,-3.98366427422,
20.2230000000017,5.52833660035,4.6349568367,-7.12721072574,-3.98366427422,
20.2240000000017,5.52530350531,4.6349568367,-7.12747592534,-3.98366427422,
20.2250000000017,5.5222816423,5.39133024216,-7.12779662435,-4.09186649323,
20.2260000000017,5.51927061021,5.39133024216,-7.12817119739,-4.09186649323,
20.2270000000017,5.51627002052,5.39133024216,-7.12859806217,-4.09186649323,
20.2280000000017,5.51328254122,5.39133024216,-7.1290819648,-4.09186649323,
20.2290000000017,5.51030775018,5.39133024216,-7.1296212221,-4.09186649323,
20.2300000000017,5.5073452384,5.39133024216,-7.13021419556,-4.09186649323,
20.2310000000017,5.50439460975,5.39133024216,-7.13085929043,-4.09186649323,
20.2320000000017,5.50145548066,5.39133024216,-7.13155495478,-4.09186649323,
20.2330000000017,5.49852747988,5.39133024216,-7.13229967855,-4.09186649323,
20.2340000000017,5.49561024818,6.36410808563,-7.13309199265,-4.20006847382,
20.2350000000017,5.49270343808,6.36410808563,-7.133930468,-4.20006847382,
20.2360000000017,5.4898067136,6.36410808563,-7.13481371462,-4.20006847382,
20.2370000000017,5.48692349494,6.36410808563,-7.1357477831,-4.20006847382,
20.2380000000017,5.48405339888,6.36410808563,-7.13673113943,-4.20006847382,
20.2390000000018,5.48119605459,6.36410808563,-7.1377622914,-4.20006847382,
20.2400000000018,5.47835110333,6.36410808563,-7.1388397876,-4.20006847382,
20.2410000000018,5.47551819823,6.36410808563,-7.13996221659,-4.20006847382,
20.2420000000018,5.47269700393,7.66045045853,-7.14112820589,-4.30826997757,
20.2430000000018,5.46988719634,7.66045045853,-7.1423364211,-4.30826997757,
20.2440000000018,5.46708846238,7.66045045853,-7.14358556498,-4.30826997757,
20.2450000000018,5.46430528954,8.74143123627,-7.14488343328,-4.41543197632,
20.2460000000018,5.46153729997,8.74143123627,-7.1462285297,-4.41543197632,
20.2470000000018,5.45878412816,8.74143123627,-7.14761939921,-4.41543197632,
20.2480000000018,5.45604542065,8.74143123627,-7.14905462711,-4.41543197632,
20.2490000000018,5.45332491223,8.74143123627,-7.15054072072,-4.41543197632,
20.2500000000018,5.45062219769,8.74143123627,-7.15207610648,-4.41543197632,
20.2510000000018,5.44793688493,8.74143123627,-7.15365925428,-4.41543197632,
20.2520000000018,5.44526859458,8.74143123627,-7.15528867652,-4.41543197632,
20.2530000000018,5.44261695969,8.74143123627,-7.15696292709,-4.41543197632,
20.2540000000018,5.43998162544,9.82136917114,-7.15868060043,-4.41543197632,
20.2550000000018,5.43736224883,9.82136917114,-7.16044033051,-4.41543197632,
20.2560000000018,5.43475849835,9.82136917114,-7.16224078991,-4.41543197632,
20.2570000000018,5.43217355817,9.82136917114,-7.16408626827,-4.41543197632,
20.2580000000018,5.42960706472,9.82136917114,-7.16597534407,-4.41543197632,
20.2590000000018,5.42705866643,9.82136917114,-7.16790663572,-4.41543197632,
20.2600000000018,5.42452802343,9.82136917114,-7.16987880068,-4.41543197632,
20.2610000000018,5.42201480726,10.5777425766,-7.17189053443,-4.52363395691,
20.2620000000018,5.41951870056,10.5777425766,-7.17394056959,-4.52363395691,
20.2630000000018,5.41703939677,10.5777425766,-7.17602767495,-4.52363395691,
20.2640000000018,5.41457960095,10.5777425766,-7.17815677022,-4.52363395691,
20.2650000000018,5.41213896887,10.5777425766,-7.18032650789,-4.52363395691,
20.2660000000018,5.40971716787,10.5777425766,-7.18253557879,-4.52363395691,
20.2670000000018,5.40731387656,10.5777425766,-7.18478271113,-4.52363395691,
20.2680000000018,5.40492878445,10.5777425766,-7.18706666959,-4.52363395691,
20.2690000000018,5.40256159175,10.5777425766,-7.18938625432,-4.52363395691,
20.2700000000018,5.40021200898,10.5777425766,-7.19174030008,-4.52363395691,
20.2710000000018,5.39787975675,10.5777425766,-7.19412767529,-4.52363395691,
20.2720000000018,5.39556456548,10.5777425766,-7.19654728116,-4.52363395691,
20.2730000000018,5.3932661751,10.5777425766,-7.19899805079,-4.52363395691,
20.2740000000018,5.39098433482,11.87408638,-7.20147894834,-4.52363395691,
20.2750000000018,5.38871880286,11.87408638,-7.20398896818,-4.52363395691,
20.2760000000018,5.38646934617,11.87408638,-7.20652713404,-4.52363395691,
20.2770000000018,5.38423990725,11.87408638,-7.20909899822,-4.52363395691,
20.2780000000018,5.38203020653,11.87408638,-7.21170344244,-4.52363395691,
20.2790000000018,5.37983997418,11.87408638,-7.21433938063,-4.52363395691,
20.2800000000018,5.37766894984,11.87408638,-7.21700575809,-4.52363395691,
20.2810000000018,5.37551688233,13.0622272491,-7.2197015507,-4.52363395691,
20.2820000000018,5.37338352942,13.0622272491,-7.22242576405,-4.52363395691,
20.2830000000018,5.37126865753,13.0622272491,-7.22517743271,-4.52363395691,
20.2840000000018,5.36917584583,13.0622272491,-7.22796150072,-4.52363395691,
20.2850000000018,5.36710482017,13.0622272491,-7.23077687835,-4.52363395691,
20.2860000000018,5.3650553159,13.0622272491,-7.23362250718,-4.52363395691,
20.2870000000018,5.36302707759,13.0622272491,-7.23649735935,-4.52363395691,
20.2880000000018,5.36101985876,13.0622272491,-7.23940043672,-4.52363395691,
20.2890000000018,5.35903342165,13.0622272491,-7.24233077009,-4.52363395691,
20.2900000000018,5.35706753691,13.0622272491,-7.24528741842,-4.52363395691,
20.2910000000018,5.35512198342,14.6831769943,-7.24826946803,-4.52363395691,
20.2920000000018,5.35319654801,14.6831769943,-7.25127603192,-4.52363395691,
20.2930000000018,5.35129102522,14.6831769943,-7.25430624896,-4.52363395691,
20.2940000000018,5.34941037632,14.6831769943,-7.25736714517,-4.52363395691,
20.2950000000018,5.34755433453,14.6831769943,-7.26045766818,-4.52363395691,
20.2960000000018,5.34572264222,14.6831769943,-7.26357679568,-4.52363395691,
20.2970000000018,5.34391505064,15.3313474655,-7.26672353468,-4.63183546066,
20.2980000000018,5.34213131965,15.3313474655,-7.2698969207,-4.63183546066,
20.2990000000018,5.3403712175,15.3313474655,-7.27309601703,-4.63183546066,
20.3000000000018,5.33863709365,16.087720871,-7.27632516518,-4.52363395691,
20.3010000000018,5.33692868255,16.087720871,-7.27958332147,-4.52363395691,
20.3020000000018,5.33524572776,16.087720871,-7.28286947209,-4.52363395691,
20.3030000000018,5.33358986113,16.087720871,-7.28618408749,-4.52363395691,
20.3040000000018,5.33196082861,16.087720871,-7.28952616542,-4.52363395691,
